epoch,train_loss,train_reg,train_event,val_loss,val_reg,val_event,lr,epoch_min
1,4.528121445993644,3.967347101731734,1.1215487180458714,4.4453453991724095,3.975877877810727,0.938935003850771,0.00019999999999999998,4.545676732063294
2,4.040483919430676,3.527584764650997,1.025798318154386,4.1855835733206375,3.7431416919697886,0.8848838028700455,0.00035,4.540386966864268
3,3.837980165750629,3.36612525703765,0.9437098114468088,4.165967728780664,3.732556881464046,0.8668216402116029,0.0005,4.33107856909434
4,3.7196684414316494,3.2640636849179163,0.9112095021902581,4.0069635549317235,3.594972625374794,0.8239819102961085,0.0005,4.196638945738474
5,3.6368994750199275,3.190665419198876,0.8924681108947085,3.87939432133799,3.4727234328570575,0.8133417886236439,0.0005,4.218516047795614
6,3.575954853554131,3.1358096539787366,0.8802903972823044,3.8887121249800143,3.483882626761561,0.8096589763527331,0.0005,4.18126014471054
7,3.529821729211598,3.0939157158603487,0.8718120265156498,3.900557059308757,3.496632786548656,0.807848554590474,0.0005,4.184683092435201
8,3.502101939300011,3.069892922165252,0.8644180294114594,3.8926276564598083,3.485898455199988,0.813458396040875,0.0005,4.239953764279684
9,3.476841940027793,3.047974483346491,0.8577349326079916,3.9651488933874215,3.55663143163142,0.8170349021320757,0.00025,4.15567744175593
10,3.389646187097675,2.969431547535624,0.8404292723975585,3.8271341207234757,3.4285524059896884,0.7971634275239446,0.00025,4.166386616230011
11,3.3740923225319124,2.956166262163264,0.8358521119554214,3.7991945639900537,3.4041173445141832,0.7901544059100358,0.00025,4.132950846354166
12,3.36552552220216,2.9489059993839564,0.8332390415257421,3.730045525924019,3.338533495431361,0.7830240143382031,0.00025,4.138247946898143
13,3.3258027417532703,2.9107196876621546,0.8301660986529622,3.693615318640419,3.3050798320251964,0.7770709946103718,0.00025,4.130612369378408
14,3.3009560197872054,2.889941211030775,0.8220296091046827,3.7583350668782773,3.366032261563384,0.7846055970243786,0.00025,4.134568007787069
15,3.3061605897443047,2.892721233696773,0.8268787070501561,3.736811873705491,3.3446119615565175,0.7843998346639716,0.00025,4.112939993540446
16,3.2729435325789975,2.864897800837191,0.816091458065009,3.7785268322281214,3.388051739853361,0.780950182158014,0.00025,4.165974978605906
17,3.255719907605162,2.850004832199001,0.811430142964689,3.730079584795496,3.339616988664088,0.7809251948543217,0.000125,4.130631391207377
18,3.2133556630544153,2.8114230117080354,0.8038652898002194,3.7613479520963584,3.368821294411369,0.7850533620170925,0.000125,4.107825851440429
19,3.1861828576808437,2.7874233490994733,0.7975190166021963,3.748434323331584,3.361433147736218,0.774002378401549,0.000125,4.123815286159515
20,3.182657990709741,2.7845733909397663,0.7961691926265585,3.775527326957039,3.3840145902789156,0.7830254357794056,0.000125,4.109684336185455
21,3.1657937858545666,2.768943926757406,0.793699700817419,3.786182718432468,3.3934227837168653,0.7855198629524397,6.25e-05,4.107086137930552
22,3.1556413831381964,2.7601964682994593,0.7908898371514108,3.7140135246774424,3.3259486970694168,0.77612964031489,6.25e-05,4.107415890693664
23,3.142791317548124,2.748100179863574,0.7893822650924371,3.7823274440091588,3.3934389624906625,0.7777770116277363,6.25e-05,4.103188331921896
