epoch,train_loss,train_reg,train_event,val_loss,val_reg,val_event,lr,epoch_min
1,4.984570596507404,4.406457085489728,1.1562270300158897,5.382170117419699,4.871446463076965,1.0214472970236903,0.00011999999999999998,11.14844590028127
2,4.367451370510596,3.8311618686221136,1.072578990559199,4.55250059262566,4.086519863726436,0.931961441817491,0.00020999999999999995,10.309234861532847
3,3.9915811037917517,3.487756051777796,1.0076501112602745,4.24780328463817,3.79873033148655,0.8981459326502206,0.0002999999999999999,10.070838129520416
4,3.8299101276876537,3.3521911579195924,0.9554379475166608,4.027739674284838,3.6054326611152594,0.8446140030156011,0.0002999999999999999,9.961211069424946
5,3.697713560639066,3.236081766034769,0.9232635879616359,4.018610713274582,3.6027145191379217,0.8317924204511918,0.0002999999999999999,9.934431811173758
6,3.649931223322657,3.194397889669969,0.9110666404957551,3.9459585258062333,3.5314641543056653,0.828988781441813,0.0002999999999999999,9.901379299163818
7,3.6190309534511806,3.167949397693618,0.902163117001745,3.989983774613643,3.5709128677845,0.8381418359020482,0.0002999999999999999,10.454434645175933
8,3.5509428588915073,3.1073651433489813,0.8871554208599872,3.9171455247678617,3.5053191012230474,0.8236528912532157,0.0002999999999999999,10.12925937573115
9,3.5285086282626357,3.0862873253961984,0.8844426064810493,3.883611816426982,3.4776776592800585,0.8118682982049127,0.0002999999999999999,9.916573969523112
10,3.499086975552547,3.061140219536785,0.8758935241270265,3.8528795855632727,3.4496325625889543,0.8064940359065498,0.0002999999999999999,9.906854021549226
11,3.4415461513287853,3.0081522402404244,0.866787823298985,3.8360393453335417,3.4285664679347603,0.8149457432437635,0.0002999999999999999,9.900834532578786
12,3.4345437113710027,3.0018562869048018,0.8653748510522323,3.914567045543505,3.5043092827866045,0.8205155734566675,0.0002999999999999999,20.308333679040274
13,3.4240041861474264,2.9931474836800387,0.8617134048100795,3.8836211890414143,3.474370026933974,0.8185023167642994,0.0002999999999999999,9.884262291590373
14,3.3987461792375253,2.970506592525099,0.8564791744224197,3.86838140954142,3.4591458362081777,0.8184711611357288,0.0002999999999999999,9.851104617118835
15,3.3847699923495367,2.9578833562559663,0.8537732760527144,3.8451519470283952,3.442256498164025,0.805790912521922,0.00014999999999999996,9.86426416238149
16,3.3247977520132665,2.903487898814628,0.8426197128814633,3.790322280448416,3.3882440414981567,0.8041565023038698,0.00014999999999999996,9.850446581840515
17,3.300286209234134,2.8818773821806807,0.8368176602170059,3.8530528217122173,3.4468191585678984,0.8124673230492551,0.00014999999999999996,9.916821845372517
18,3.2881048379084055,2.8711970755245897,0.8338155227724977,3.794864890800006,3.3939771095047826,0.8017755472573681,0.00014999999999999996,12.80306137005488
19,3.2799601759371897,2.862920403231138,0.8340795422947057,3.8824910530145615,3.477886505316997,0.8092090757428736,0.00014999999999999996,10.46738980213801
20,3.263197186102927,2.8490588814643636,0.828276597805103,3.830292818338975,3.4246802628040314,0.8112251268348832,7.499999999999998e-05,9.925725348790486
21,3.2378043415157367,2.8252086040863933,0.8251914761056461,3.835737002932507,3.4351442762907,0.8011854722879935,7.499999999999998e-05,9.890476572513581
22,3.2164760254417004,2.805884519630895,0.8211830263357283,3.82795731831288,3.4283505850943965,0.7992134460288546,7.499999999999998e-05,9.879886710643769
23,3.226273838945014,2.8151067221015067,0.8223342355574524,3.832121703935706,3.428234015685925,0.8077753768235013,7.499999999999998e-05,10.042426002025604
24,3.2038584887732022,2.7944945313940486,0.8187279188732722,3.7888558830903922,3.3917299763879916,0.7942518170761026,7.499999999999998e-05,9.849082970619202
25,3.2107592182678157,2.800563244889471,0.8203919504975674,3.7064970649670865,3.311437206423801,0.7901197333914646,7.499999999999998e-05,9.834440557161967
26,3.2064192160402882,2.797489523139459,0.8178593976477698,3.838664498018182,3.4358555510424185,0.8056179310964502,7.499999999999998e-05,9.834174350897472
27,3.192771712606422,2.7856095535485816,0.814324317118114,3.794464946656987,3.393534040969351,0.8018618384781091,7.499999999999998e-05,9.953349792957306
28,3.1974511171484594,2.788834971114681,0.8172322978035675,3.8600476120693097,3.458425386228423,0.80324444088383,7.499999999999998e-05,9.879437017440797
29,3.1798758347164138,2.773260954034877,0.8132297560011492,3.8120085994402566,3.4066469509532484,0.810723346752533,3.749999999999999e-05,9.87743484179179
30,3.1666243994086356,2.7615097259876618,0.8102293397342809,3.795836748852246,3.3924020045045493,0.8068694823246071,3.749999999999999e-05,9.923789505163828
